image_id,healthy,multiple_diseases,rust,scab
Test_0,3.131565608782694e-05,0.14187635481357574,0.858065128326416,2.716367453103885e-05
Test_1,4.26388655286325e-12,4.807856157640344e-07,0.9999995231628418,9.716762984501859e-12
Test_2,0.00011207422357983887,0.0005253890994936228,1.9818227883661166e-05,0.9993427395820618
Test_3,0.9999982118606567,2.534763232642234e-10,1.6119869314934476e-06,8.662092909617058e-08
Test_4,6.117514134151847e-11,3.7798414268763736e-05,0.9999622106552124,1.561161977470249e-09
Test_5,0.8765669465065002,0.03563547134399414,0.046555016189813614,0.04124253988265991
Test_6,0.9995189905166626,2.0343914002296515e-06,0.00044274269021116197,3.618819755502045e-05
Test_7,2.607225546569225e-08,6.8055428528168704e-06,1.5572412337405694e-07,0.9999929666519165
Test_8,1.0727667643095629e-09,0.04008639231324196,0.000123328369227238,0.9597902297973633
Test_9,4.6915155849092116e-07,0.0006281029782257974,0.999347984790802,2.345213397347834e-05
Test_10,0.8318317532539368,0.000115202710730955,0.16764302551746368,0.0004100315272808075
Test_11,0.8420676589012146,0.06898918002843857,0.012239223346114159,0.07670404016971588
Test_12,8.344676949434415e-09,3.181599095114507e-05,1.600746757368654e-09,0.9999681711196899
Test_13,0.4496097266674042,0.0020794260781258345,0.5475539565086365,0.0007569203735329211
Test_14,5.4375617764890194e-05,0.007750240154564381,0.9921948909759521,4.5942167048451665e-07
Test_15,5.536927583094098e-10,1.205975597162734e-10,1.0,7.346816162162248e-14
Test_16,0.9996500015258789,2.6552654162514955e-05,0.00014036176435183734,0.0001830447872634977
Test_17,3.0796482212505037e-18,1.973598173776736e-09,7.561293605129471e-12,1.0
Test_18,0.8106438517570496,0.004774185363203287,0.11161477118730545,0.07296716421842575
Test_19,1.875226862679824e-09,3.1568362146572326e-07,0.9999996423721313,3.9093075443474845e-09
Test_20,3.403942405721949e-11,1.3907271068092086e-06,1.5531777253219303e-10,0.9999985694885254
Test_21,0.9997774958610535,3.0617496094009766e-08,0.00020715453138109297,1.536262789159082e-05
Test_22,1.3873253124074836e-07,0.007389510050415993,0.9926097989082336,5.410602739175374e-07
Test_23,5.5364250961531525e-09,0.0007153081824071705,1.3722781204705825e-06,0.9992833733558655
Test_24,0.999998927116394,1.7085110215475652e-08,4.3304137875566084e-07,6.228229949556408e-07
Test_25,1.5843953633520869e-06,5.115676685818471e-06,3.85803993196987e-08,0.9999932050704956
Test_26,4.93457889660931e-07,0.015808403491973877,0.0001308004284510389,0.9840602874755859
Test_27,1.7828350351578592e-08,1.1448474651842844e-05,0.9999885559082031,6.897501236835524e-09
Test_28,0.9999971389770508,4.4567710633103275e-10,2.910152943513822e-06,1.4838897888225233e-09
Test_29,4.146859282627702e-06,0.924537181854248,0.07156958431005478,0.003888967912644148
Test_30,0.999860405921936,1.7710451629682211e-06,2.0421068711584667e-06,0.0001357091823592782
Test_31,1.0847121811874416e-10,0.0008065358269959688,0.9991934895515442,1.6764253318868327e-09
Test_32,4.415665333379337e-10,0.0022884253412485123,5.590573709923774e-05,0.9976556301116943
Test_33,8.473239471173954e-12,3.902769663000072e-08,8.28972723798671e-11,1.0
Test_34,1.5345118242748867e-07,0.022800851613283157,2.214957021351438e-05,0.9771768450737
Test_35,2.0942111933486274e-10,3.3580301987967687e-06,1.6136021685486668e-10,0.9999966621398926
Test_36,4.856996724811324e-07,0.0022165433038026094,0.9977637529373169,1.921033617691137e-05
Test_37,2.0940014167081245e-07,0.0010463466169312596,7.111502497991751e-08,0.9989533424377441
Test_38,4.179808221492677e-16,1.3772117881671875e-06,1.0709177544754311e-08,0.9999985694885254
Test_39,7.370121873906399e-12,5.905199940148265e-11,1.0,6.6486798705467365e-12
Test_40,1.4056327213296527e-09,1.260514324030737e-07,0.9999998807907104,6.185094103550171e-10
Test_41,1.5181872186076362e-05,1.1516016456880607e-05,0.9999732971191406,7.918226962999597e-09
Test_42,1.3801256670831208e-07,0.04607515037059784,1.758422172315477e-06,0.9539229869842529
Test_43,0.3153933584690094,0.00014033718616701663,0.6844643950462341,1.9560948203434236e-06
Test_44,7.93148446226466e-12,0.008568121120333672,0.9906216859817505,0.0008102813153527677
Test_45,6.726691736957946e-08,0.07426624745130539,0.25819626450538635,0.6675373911857605
Test_46,1.0360141459386796e-05,0.001211522612720728,8.219431606448779e-07,0.9987773299217224
Test_47,4.771104877914382e-19,1.1049669979001919e-07,0.9999998807907104,1.863910611751428e-15
Test_48,2.290651558242631e-19,5.1342023965617045e-09,1.0,7.499885148362732e-17
Test_49,1.0982244020851795e-06,4.256964984961087e-07,0.9999983310699463,9.377432519386275e-08
Test_50,4.322615128251467e-13,5.393053470470477e-08,1.0,2.6425356694503854e-11
Test_51,4.6588684199377894e-05,0.009107952937483788,0.9907236695289612,0.00012177637836430222
Test_52,5.328579959495983e-07,0.00018989594536833465,0.9998095631599426,1.2852278130637274e-09
Test_53,6.336650648641751e-10,1.2383727820974855e-08,1.0,1.624183287862735e-10
Test_54,1.2749733286909759e-05,0.07241031527519226,0.9219465255737305,0.0056304591707885265
Test_55,3.7196577977738343e-06,2.7811289328383282e-05,4.616685345126825e-08,0.999968409538269
Test_56,1.8195120219388627e-06,0.0018818764947354794,1.2319761708567967e-06,0.998115062713623
Test_57,0.05550546571612358,0.00037084019277244806,0.9440715312957764,5.219746890361421e-05
Test_58,4.838407777728315e-13,1.061295552062802e-05,5.294292781954368e-10,0.99998939037323
Test_59,0.8619526624679565,0.00021738513896707445,0.10325296968221664,0.03457694873213768
Test_60,4.9983755161520094e-05,0.18093210458755493,0.00032847211696207523,0.8186894655227661
Test_61,0.9999514818191528,1.166704066690727e-09,4.8513244109926745e-05,8.903374038027323e-09
Test_62,2.5787868368487565e-11,5.156475162948482e-05,4.0152521307845745e-08,0.9999483823776245
Test_63,8.828512226832785e-11,9.893078822642565e-05,3.3315392111710196e-11,0.9999010562896729
Test_64,0.5556361079216003,0.00012199716729810461,0.006507077254354954,0.43773481249809265
Test_65,9.500727173872292e-06,0.001426402130164206,0.9985581040382385,5.9789331317006145e-06
Test_66,0.8725488781929016,8.145569154294208e-05,0.1269136518239975,0.0004559739027172327
Test_67,2.318858605576679e-05,0.060139041393995285,0.937089204788208,0.002748571801930666
Test_68,3.8861365514453183e-11,0.3837563693523407,3.3926389733096585e-06,0.6162402629852295
Test_69,2.61960608760603e-09,7.0523101385333575e-06,0.9999929666519165,7.4310313458170185e-09
Test_70,3.537315862445212e-08,0.003750371281057596,1.720703767205123e-05,0.9962323307991028
Test_71,0.0009946171194314957,1.7240301986021223e-06,0.999000608921051,3.098372189924703e-06
